price,price_date,asin,currency,price_type
12.93,10/13/2020,B07MHXLHLD,$,amazon
12.93,10/14/2020,B07MHXLHLD,$,amazon
12.93,10/15/2020,B07MHXLHLD,$,amazon
12.93,10/16/2020,B07MHXLHLD,$,amazon
12.93,10/17/2020,B07MHXLHLD,$,amazon
12.93,10/18/2020,B07MHXLHLD,$,amazon
19.97,10/19/2020,B07MHXLHLD,$,amazon
19.97,10/20/2020,B07MHXLHLD,$,amazon
19.97,10/21/2020,B07MHXLHLD,$,amazon
19.97,10/22/2020,B07MHXLHLD,$,amazon
19.97,10/23/2020,B07MHXLHLD,$,amazon
19.97,10/24/2020,B07MHXLHLD,$,amazon
19.97,10/25/2020,B07MHXLHLD,$,amazon
19.97,10/26/2020,B07MHXLHLD,$,amazon
19.97,10/27/2020,B07MHXLHLD,$,amazon
19.97,10/28/2020,B07MHXLHLD,$,amazon
19.97,10/29/2020,B07MHXLHLD,$,amazon
19.97,10/30/2020,B07MHXLHLD,$,amazon
19.97,10/31/2020,B07MHXLHLD,$,amazon
19.97,11/01/2020,B07MHXLHLD,$,amazon
19.97,11/02/2020,B07MHXLHLD,$,amazon
19.97,11/03/2020,B07MHXLHLD,$,amazon
19.97,11/04/2020,B07MHXLHLD,$,amazon
19.97,11/05/2020,B07MHXLHLD,$,amazon
19.97,11/06/2020,B07MHXLHLD,$,amazon
13.81,11/07/2020,B07MHXLHLD,$,amazon
13.81,11/08/2020,B07MHXLHLD,$,amazon
13.81,11/09/2020,B07MHXLHLD,$,amazon
13.81,11/10/2020,B07MHXLHLD,$,amazon
13.81,11/11/2020,B07MHXLHLD,$,amazon
13.81,11/12/2020,B07MHXLHLD,$,amazon
13.81,11/13/2020,B07MHXLHLD,$,amazon
13.81,11/14/2020,B07MHXLHLD,$,amazon
13.81,11/15/2020,B07MHXLHLD,$,amazon
13.81,11/16/2020,B07MHXLHLD,$,amazon
13.81,11/17/2020,B07MHXLHLD,$,amazon
13.81,11/18/2020,B07MHXLHLD,$,amazon
10.99,11/19/2020,B07MHXLHLD,$,amazon
10.99,11/20/2020,B07MHXLHLD,$,amazon
10.99,11/21/2020,B07MHXLHLD,$,amazon
10.99,11/22/2020,B07MHXLHLD,$,amazon
10.99,11/23/2020,B07MHXLHLD,$,amazon
10.99,11/24/2020,B07MHXLHLD,$,amazon
10.99,11/25/2020,B07MHXLHLD,$,amazon
10.99,11/26/2020,B07MHXLHLD,$,amazon
10.99,11/27/2020,B07MHXLHLD,$,amazon
10.99,11/28/2020,B07MHXLHLD,$,amazon
10.99,11/29/2020,B07MHXLHLD,$,amazon
10.99,11/30/2020,B07MHXLHLD,$,amazon
10.99,12/01/2020,B07MHXLHLD,$,amazon
10.99,12/02/2020,B07MHXLHLD,$,amazon
10.99,12/03/2020,B07MHXLHLD,$,amazon
10.99,12/04/2020,B07MHXLHLD,$,amazon
10.99,12/05/2020,B07MHXLHLD,$,amazon
10.99,12/06/2020,B07MHXLHLD,$,amazon
10.99,12/07/2020,B07MHXLHLD,$,amazon
10.99,12/08/2020,B07MHXLHLD,$,amazon
10.99,12/09/2020,B07MHXLHLD,$,amazon
10.99,12/10/2020,B07MHXLHLD,$,amazon
10.99,12/11/2020,B07MHXLHLD,$,amazon
10.99,12/12/2020,B07MHXLHLD,$,amazon
10.99,12/13/2020,B07MHXLHLD,$,amazon
10.99,12/14/2020,B07MHXLHLD,$,amazon
10.99,12/15/2020,B07MHXLHLD,$,amazon
10.99,12/16/2020,B07MHXLHLD,$,amazon
10.99,12/17/2020,B07MHXLHLD,$,amazon
10.99,12/18/2020,B07MHXLHLD,$,amazon
10.99,12/19/2020,B07MHXLHLD,$,amazon
10.99,12/20/2020,B07MHXLHLD,$,amazon
10.99,12/21/2020,B07MHXLHLD,$,amazon
10.99,12/22/2020,B07MHXLHLD,$,amazon
10.99,12/23/2020,B07MHXLHLD,$,amazon
10.99,12/24/2020,B07MHXLHLD,$,amazon
10.99,12/25/2020,B07MHXLHLD,$,amazon
10.99,12/26/2020,B07MHXLHLD,$,amazon
10.99,12/27/2020,B07MHXLHLD,$,amazon
10.99,12/28/2020,B07MHXLHLD,$,amazon
10.99,12/29/2020,B07MHXLHLD,$,amazon
10.99,12/30/2020,B07MHXLHLD,$,amazon
10.99,12/31/2020,B07MHXLHLD,$,amazon
10.99,01/01/2021,B07MHXLHLD,$,amazon
10.99,01/02/2021,B07MHXLHLD,$,amazon
10.99,01/03/2021,B07MHXLHLD,$,amazon
10.99,01/04/2021,B07MHXLHLD,$,amazon
10.99,01/05/2021,B07MHXLHLD,$,amazon
10.99,01/06/2021,B07MHXLHLD,$,amazon
10.99,01/07/2021,B07MHXLHLD,$,amazon
10.99,01/08/2021,B07MHXLHLD,$,amazon
10.99,01/09/2021,B07MHXLHLD,$,amazon
10.99,01/10/2021,B07MHXLHLD,$,amazon
10.99,01/11/2021,B07MHXLHLD,$,amazon
10.99,01/12/2021,B07MHXLHLD,$,amazon
10.99,01/13/2021,B07MHXLHLD,$,amazon
10.99,01/14/2021,B07MHXLHLD,$,amazon
10.99,01/15/2021,B07MHXLHLD,$,amazon
10.99,01/16/2021,B07MHXLHLD,$,amazon
10.99,01/17/2021,B07MHXLHLD,$,amazon
10.99,01/18/2021,B07MHXLHLD,$,amazon
10.99,01/19/2021,B07MHXLHLD,$,amazon
10.99,01/20/2021,B07MHXLHLD,$,amazon
10.99,01/21/2021,B07MHXLHLD,$,amazon
10.99,01/22/2021,B07MHXLHLD,$,amazon
10.99,01/23/2021,B07MHXLHLD,$,amazon
10.99,01/24/2021,B07MHXLHLD,$,amazon
10.99,01/25/2021,B07MHXLHLD,$,amazon
10.99,01/26/2021,B07MHXLHLD,$,amazon
10.99,01/27/2021,B07MHXLHLD,$,amazon
10.99,01/28/2021,B07MHXLHLD,$,amazon
10.99,01/29/2021,B07MHXLHLD,$,amazon
10.99,01/30/2021,B07MHXLHLD,$,amazon
10.99,01/31/2021,B07MHXLHLD,$,amazon
10.99,02/01/2021,B07MHXLHLD,$,amazon
10.99,02/02/2021,B07MHXLHLD,$,amazon
10.99,02/03/2021,B07MHXLHLD,$,amazon
10.99,02/04/2021,B07MHXLHLD,$,amazon
10.99,02/05/2021,B07MHXLHLD,$,amazon
10.99,02/06/2021,B07MHXLHLD,$,amazon
10.99,02/07/2021,B07MHXLHLD,$,amazon
10.99,02/08/2021,B07MHXLHLD,$,amazon
10.99,02/09/2021,B07MHXLHLD,$,amazon
10.99,02/10/2021,B07MHXLHLD,$,amazon
10.99,02/11/2021,B07MHXLHLD,$,amazon
10.99,02/12/2021,B07MHXLHLD,$,amazon
10.99,02/13/2021,B07MHXLHLD,$,amazon
10.99,02/14/2021,B07MHXLHLD,$,amazon
10.99,02/15/2021,B07MHXLHLD,$,amazon
10.99,02/16/2021,B07MHXLHLD,$,amazon
10.99,02/17/2021,B07MHXLHLD,$,amazon
10.99,02/18/2021,B07MHXLHLD,$,amazon
10.99,02/19/2021,B07MHXLHLD,$,amazon
10.99,02/20/2021,B07MHXLHLD,$,amazon
10.99,02/21/2021,B07MHXLHLD,$,amazon
10.99,02/22/2021,B07MHXLHLD,$,amazon
10.99,02/23/2021,B07MHXLHLD,$,amazon
10.99,02/24/2021,B07MHXLHLD,$,amazon
10.99,02/25/2021,B07MHXLHLD,$,amazon
10.99,02/26/2021,B07MHXLHLD,$,amazon
10.99,02/27/2021,B07MHXLHLD,$,amazon
10.99,02/28/2021,B07MHXLHLD,$,amazon
10.99,03/01/2021,B07MHXLHLD,$,amazon
10.99,03/02/2021,B07MHXLHLD,$,amazon
10.99,03/03/2021,B07MHXLHLD,$,amazon
10.99,03/04/2021,B07MHXLHLD,$,amazon
10.99,03/05/2021,B07MHXLHLD,$,amazon
10.99,03/06/2021,B07MHXLHLD,$,amazon
10.99,03/07/2021,B07MHXLHLD,$,amazon
10.99,03/08/2021,B07MHXLHLD,$,amazon
10.99,03/09/2021,B07MHXLHLD,$,amazon
10.99,03/10/2021,B07MHXLHLD,$,amazon
10.99,03/11/2021,B07MHXLHLD,$,amazon
10.99,03/12/2021,B07MHXLHLD,$,amazon
10.99,03/13/2021,B07MHXLHLD,$,amazon
10.99,03/14/2021,B07MHXLHLD,$,amazon
10.99,03/15/2021,B07MHXLHLD,$,amazon
10.99,03/16/2021,B07MHXLHLD,$,amazon
10.99,03/17/2021,B07MHXLHLD,$,amazon
10.99,03/18/2021,B07MHXLHLD,$,amazon
10.99,03/19/2021,B07MHXLHLD,$,amazon
10.99,03/20/2021,B07MHXLHLD,$,amazon
10.99,03/21/2021,B07MHXLHLD,$,amazon
10.99,03/22/2021,B07MHXLHLD,$,amazon
10.99,03/23/2021,B07MHXLHLD,$,amazon
10.99,03/24/2021,B07MHXLHLD,$,amazon
10.99,03/25/2021,B07MHXLHLD,$,amazon
10.99,03/26/2021,B07MHXLHLD,$,amazon
10.99,03/27/2021,B07MHXLHLD,$,amazon
10.99,03/28/2021,B07MHXLHLD,$,amazon
10.99,03/29/2021,B07MHXLHLD,$,amazon
8.78,03/30/2020,B07QVSST4C,$,amazon
8.78,03/31/2020,B07QVSST4C,$,amazon
8.68,04/01/2020,B07QVSST4C,$,amazon
8.78,04/02/2020,B07QVSST4C,$,amazon
8.78,04/03/2020,B07QVSST4C,$,amazon
8.78,04/04/2020,B07QVSST4C,$,amazon
8.78,04/05/2020,B07QVSST4C,$,amazon
8.78,04/06/2020,B07QVSST4C,$,amazon
8.78,04/07/2020,B07QVSST4C,$,amazon
9.99,04/08/2020,B07QVSST4C,$,amazon
9.99,04/09/2020,B07QVSST4C,$,amazon
9.99,04/10/2020,B07QVSST4C,$,amazon
8.78,04/11/2020,B07QVSST4C,$,amazon
8.78,04/12/2020,B07QVSST4C,$,amazon
8.78,04/13/2020,B07QVSST4C,$,amazon
8.78,04/14/2020,B07QVSST4C,$,amazon
8.78,04/15/2020,B07QVSST4C,$,amazon
8.78,04/16/2020,B07QVSST4C,$,amazon
8.78,04/17/2020,B07QVSST4C,$,amazon
8.78,04/18/2020,B07QVSST4C,$,amazon
8.78,04/19/2020,B07QVSST4C,$,amazon
8.78,04/20/2020,B07QVSST4C,$,amazon
8.78,04/21/2020,B07QVSST4C,$,amazon
8.78,04/22/2020,B07QVSST4C,$,amazon
8.78,04/23/2020,B07QVSST4C,$,amazon
8.78,04/24/2020,B07QVSST4C,$,amazon
8.78,04/25/2020,B07QVSST4C,$,amazon
8.78,04/26/2020,B07QVSST4C,$,amazon
8.78,04/27/2020,B07QVSST4C,$,amazon
8.78,04/28/2020,B07QVSST4C,$,amazon
8.78,04/29/2020,B07QVSST4C,$,amazon
8.78,04/30/2020,B07QVSST4C,$,amazon
8.78,05/01/2020,B07QVSST4C,$,amazon
8.78,05/02/2020,B07QVSST4C,$,amazon
8.78,05/03/2020,B07QVSST4C,$,amazon
8.78,05/04/2020,B07QVSST4C,$,amazon
8.78,05/05/2020,B07QVSST4C,$,amazon
8.78,05/06/2020,B07QVSST4C,$,amazon
8.78,05/07/2020,B07QVSST4C,$,amazon
8.78,05/08/2020,B07QVSST4C,$,amazon
8.78,05/09/2020,B07QVSST4C,$,amazon
